Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
128,Avenida 6 de Diciembre,Bélgica,Residential,2770,-0.1899021,-78.4811634,1,-74.95,CONNECTED
129,Avenida 6 de Diciembre,California,Residential,2787,-0.1781909,-78.4782045,4,-83.45,CONNECTED
130,Avenida 6 de Diciembre,Checoslovaquia,Residential,2777,-0.1858723,-78.4793804,3,-83.36,CONNECTED
131,Avenida 6 de Diciembre,Checoslovaquia,Residential,2779,-0.1856763,-78.4792081,3,-82.5,CONNECTED
132,Avenida 6 de Diciembre,De los Angeles,Residential,2791,-0.1614465,-78.4761721,6,-83.64,CONNECTED
133,Avenida 6 de Diciembre,El Batán,Residential,2779,-0.1835319,-78.4788548,3,-68.92,CONNECTED
134,Avenida 6 de Diciembre,El Comercio,Residential,2786,-0.1761346,-78.4777172,4,-71.88,CONNECTED
135,Avenida 6 de Diciembre,El Jardin,Residential,2787,-0.1803003,-78.4785534,3,-74.35,CONNECTED
136,Avenida 6 de Diciembre,El Mercurio,Residential,2778,-0.1747025,-78.4773459,4,-42.05,CONNECTED
137,Avenida 6 de Diciembre,El Telégrafo,Residential,2785,-0.1735896,-78.477051,4,-65.44,CONNECTED
138,Avenida 6 de Diciembre,Ernesto Noboa Caamaño,Dense Urban,2775,-0.1971257,-78.483464,9,-111.98,CONNECTED
139,Avenida 6 de Diciembre,Ernesto Noboa Caamaño,Dense Urban,2777,-0.1970423,-78.4834199,9,-110.8,CONNECTED
140,Avenida 6 de Diciembre,Gaspar Cañero,Residential,2781,-0.1828304,-78.4787621,3,-58.13,CONNECTED
141,Avenida 6 de Diciembre,Germán Alemán,Residential,2785,-0.1794133,-78.47826,3,-79.71,CONNECTED
142,Avenida 6 de Diciembre,Gonzalo Serrano,Residential,2777,-0.1754762,-78.4774298,4,-63.83,CONNECTED
143,Avenida 6 de Diciembre,Guillermo Bodero,Residential,2777,-0.1936301,-78.481774,1,-79.59,CONNECTED
144,Avenida 6 de Diciembre,Hugo Moncayo,Residential,2788,-0.1725361,-78.4765811,4,-75.81,CONNECTED
145,Avenida 6 de Diciembre,Ignacio Bossano,Residential,2783,-0.1887888,-78.4803088,1,-82.09,CONNECTED
146,Avenida 6 de Diciembre,Irlanda,Residential,2779,-0.184064,-78.4790662,3,-73.87,CONNECTED
147,Avenida 6 de Diciembre,Jose Correa,Residential,2783,-0.1761628,-78.4776018,4,-71.82,CONNECTED
148,Avenida 6 de Diciembre,José Bosmediano,Residential,2777,-0.1874095,-78.4796478,1,-87.03,CONNECTED
149,Avenida 6 de Diciembre,José Bosmediano,Residential,2779,-0.1872615,-78.4795967,1,-87.44,CONNECTED
150,Avenida 6 de Diciembre,Juan Boussingault,Residential,2771,-0.1914583,-78.4809295,1,-74.59,CONNECTED
151,Avenida 6 de Diciembre,Julio Moreno,Residential,2782,-0.1808635,-78.4784811,3,-69.67,CONNECTED
152,Avenida 6 de Diciembre,La Niña,Residential,2786,-0.2000233,-78.4850759,9,-83.18,CONNECTED
153,Avenida 6 de Diciembre,Louvre Rousseau,Residential,2795,-0.1642339,-78.4753855,6,-78.68,CONNECTED
154,Avenida 6 de Diciembre,Luis Martínez,Dense Urban,2783,-0.1944285,-78.4822504,9,-112.97,CONNECTED
155,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2783,-0.1778757,-78.4779906,4,-82.04,CONNECTED
156,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2786,-0.1784842,-78.4780897,3,-83.69,CONNECTED
